     Time(s)     Power(C)        TB(C)        TC(C)        TD(C)        TE(C)   Ambient(C)
    18995.19        20.57        22.64        22.72        23.23        23.24        22.45
    18997.79        20.57        22.64        22.86        23.37        23.39        22.40
    19000.42        20.57        22.64        22.86        23.23        23.24        22.40
    19003.02        20.57        22.64        22.72        23.23        23.24        22.35
    19005.64        20.72        22.79        22.86        23.23        23.39        22.35
    19008.24        20.57        22.64        22.72        23.23        23.24        22.40
    19010.85        20.57        22.64        22.86        23.23        23.24        22.45
    19013.46        20.57        22.64        22.86        23.23        23.24        22.45
    19016.09        20.57        22.64        22.86        23.23        23.39        22.40
    19018.72        20.57        22.64        22.72        23.23        23.24        22.35
    19021.34        20.57        22.64        22.86        23.23        23.24        22.40
    19023.93        20.57        22.79        22.86        23.23        23.39        22.40
    19026.55        20.72        22.79        22.86        23.23        23.24        22.40
    19029.15        20.57        22.64        22.72        23.37        23.24        22.40
    19031.75        20.57        22.64        22.86        23.23        23.39        22.40
    19034.38        20.57        22.64        22.72        23.23        23.39        22.35
    19036.99        20.57        22.64        22.72        23.23        23.24        22.40
    19039.60        20.57        22.64        22.86        23.23        23.39        22.40
    19042.21        20.72        22.64        22.86        23.37        23.24        22.40
    19044.83        20.72        22.64        22.72        23.23        23.24        22.40
    19047.44        20.57        22.64        22.86        23.23        23.24        22.40
    19050.06        20.57        22.64        22.72        23.23        23.24        22.35
    19052.66        20.57        22.64        22.72        23.23        23.39        22.40
    19055.28        20.57        22.64        22.72        23.23        23.24        22.40
    19057.89        20.57        22.64        22.72        23.23        23.39        22.45
